47.6287002563, -122.3462295532
47.6284751892, -122.3462295532
47.6280899048, -122.3462371826
47.6280403137, -122.3462371826
47.6280403137, -122.3461532593
47.6280326843, -122.3451080322
47.6280326843, -122.3450851440
47.6280326843, -122.3450393677
47.6280212402, -122.3450393677
47.6280021667, -122.3450317383
47.6279907227, -122.3450088501
47.6279792786, -122.3449859619
47.6279754639, -122.3449630737
47.6279754639, -122.3449401855
47.6279754639, -122.3449325562
47.6279830933, -122.3449096680
47.6279945374, -122.3448944092
47.6280136108, -122.3448791504
47.6280326843, -122.3448715210
47.6280326843, -122.3448486328
47.6280288696, -122.3442687988
47.6280288696, -122.3437576294
47.6280288696, -122.3436279297
47.6271476746, -122.3436508179
47.6265754700, -122.3436737061
47.6262512207, -122.3436965942
47.6260528564, -122.3437118530
47.6256980896, -122.3437347412
47.6254043579, -122.3437500000
47.6247291565, -122.3437576294
47.6245422363, -122.3437652588
47.6244697571, -122.3437728882
47.6242370605, -122.3438262939
47.6240768433, -122.3438720703
47.6239128113, -122.3439254761
47.6237525940, -122.3439865112
47.6234817505, -122.3441085815
47.6226119995, -122.3445053101
47.6224784851, -122.3445587158
47.6223793030, -122.3445968628
47.6222877502, -122.3446350098
47.6221466064, -122.3446807861
47.6220169067, -122.3447189331
47.6216354370, -122.3448028564
47.6211433411, -122.3448944092
47.6210289001, -122.3449172974
47.6206092834, -122.3449935913
47.6201019287, -122.3450469971
47.6195983887, -122.3450775146
47.6190719604, -122.3450775146
47.6185379028, -122.3450698853
47.6176605225, -122.3449935913
47.6170425415, -122.3448944092
47.6162605286, -122.3447265625
47.6153678894, -122.3444595337
47.6144866943, -122.3441238403
47.6135864258, -122.3437042236
47.6126136780, -122.3431549072
47.6117973328, -122.3426055908
47.6111221313, -122.3420944214
47.6104354858, -122.3415145874
47.6080703735, -122.3393554688
47.6074714661, -122.3388442993
47.6068878174, -122.3383941650
47.6062393188, -122.3379516602
47.6052856445, -122.3373794556
47.6044502258, -122.3369674683
47.6034393311, -122.3365631104
47.6026535034, -122.3363189697
47.6018486023, -122.3361282349
47.6012725830, -122.3360214233
47.6005477905, -122.3359451294
47.5998954773, -122.3359069824
47.5984153748, -122.3359146118
47.5978126526, -122.3358840942
47.5972175598, -122.3358230591
47.5966224670, -122.3357162476
47.5960884094, -122.3356094360
47.5958862305, -122.3355789185
47.5956192017, -122.3355484009
47.5954132080, -122.3355178833
47.5949974060, -122.3354568481
47.5939712524, -122.3353729248
47.5933609009, -122.3353500366
47.5931015015, -122.3353424072
47.5929107666, -122.3353424072
47.5927581787, -122.3353576660
47.5927009583, -122.3353652954
47.5926284790, -122.3353729248
47.5925674438, -122.3353881836
47.5924949646, -122.3354110718
47.5919265747, -122.3356781006
47.5913581848, -122.3359375000
47.5912742615, -122.3359756470
47.5911865234, -122.3359985352
47.5910682678, -122.3360137939
47.5909996033, -122.3360137939
47.5908508301, -122.3359985352
47.5907783508, -122.3360061646
47.5904693604, -122.3360061646
47.5903167725, -122.3360137939
47.5903167725, -122.3358993530
47.5903129578, -122.3358001709
47.5903129578, -122.3357467651
47.5903091431, -122.3356475830
47.5903015137, -122.3353729248
47.5903015137, -122.3352355957
